var,oe_var,sh_description,oe_description
gdp,GDP,"GDP, real LC","GDP, real LC"
gdpusd,GDP$,"GDP, real US dollars","GDP, real US$, 2005 price"
gdpcfxusd,GDP!$,"GDP, nominal US dollars","GDP, nominal US$"
vf,TOURFSTAY,International overnight visits,Overnight tourists arrivals
nf,FNIGHTSTOT,International nights,Nights in all accommodation types (international)
nd,RNIGHTSTOT,Domestic nights,Nights in all accommodation types (domestic)
vout,TOURROUT,Departures,Departures
xfares,XFARES!$,Inbound transportation,Total inbound transportation (US$ bn)
xfaresair,XFARESAIR!$,Inbound air transportation,Air inbound transportation (US$ bn)
mfares,MFARES!$,Outbound transportation,Total outbound transportation (US$ bn)
mfaresair,MFARESAIR!$,Outbound air transportation,Air outbound transportation (US$ bn)
spendf,XFVS!$,Inbound travel spend,Total inbound travel (US$ bn)
spendd,DMSTDM!$,Domestic travel spend,Total domestic travel (US$ bn)
spendout,MRSA!$,Outbound travel spend,Total outbound travel (US$ bn)
spendfl,XPERTRAVTT!$,Leisure inbound spend,Leisure inbound travel (US$ bn)
spendoutl,MPERTRAVTT!$,Leisure outbound spend,Leisure outbound travel (US$ bn)
spenddl,RSDTDM!$,Leisure domestic spend,Leisure domestic travel (US$ bn)
spendi,CVISITOR!$,Internal T&T spending,Internal T&T spending (US$ bn)
spendoutb,MBIZTRAVTT!$,Business outbound spend,Business outbound travel (US$ bn)
spendfb,XBIZTRAVTT!$,Business inbound spend,Business inbound travel (US$ bn)
spendib,ALLBIZTT!$,Internal business T&T spending,Internal business T&T spending (US$ bn)
spendil,ALLPERTT!$,Internal leisure T&T spending,Internal leisure T&T spending (US$ bn)
ttcapital,IFTT!$,T&T capital investment,T&T capital investment (US$ bn)
spenddb,DMSTBIZ!$,Business domestic travel,Business domestic travel (US$ bn)
vftotal,TOURF,Total visitor arrivals,Total visitor arrivals
outtolh,OUTTO_LH,Outbound long haul overnight trips,Long haul overnight trips by destination
outtomh,OUTTO_MH,Outbound medium haul overnight trips,Medium haul overnight trips by destination
outtosh,OUTTO_SH,Outbound short haul overnight trips,Short haul overnight trips by destination
